RegistroANS;Ano;Trimestre;ValorDespesas
"336831";2025;"3T";"488047.24"
"336831";2025;"3T";"488047.24"
"336831";2025;"3T";"488047.24"
"336831";2025;"3T";"569092.72"
"336831";2025;"3T";"-81045.48"
"337561";2025;"3T";"94379.38"
"337561";2025;"3T";"94379.38"
"337871";2025;"3T";"1201350.43"
"337871";2025;"3T";"0"
"337871";2025;"3T";"694364.62"
"337871";2025;"3T";"506985.81"
"337871";2025;"3T";"7936081.6"
"337871";2025;"3T";"18993107.34"
"337871";2025;"3T";"18519483.9"
"337871";2025;"3T";"473623.44"
"337871";2025;"3T";"109173.46"
"340952";2025;"3T";"8106.62"
"340952";2025;"3T";"8106.62"
"342033";2025;"3T";"13427359.31"
"342033";2025;"3T";"6460.22"
"342033";2025;"3T";"4506542.11"
"342033";2025;"3T";"8914356.98"
"342033";2025;"3T";"29650256.97"
"342033";2025;"3T";"65983364.64"
"342033";2025;"3T";"56002946.94"
"342033";2025;"3T";"9980417.7"
"342033";2025;"3T";"292088.91"
"342033";2025;"3T";"1159.4"
"342033";2025;"3T";"971.21"
"342084";2025;"3T";"1186263.95"
"342084";2025;"3T";"1000970.96"
"342084";2025;"3T";"185292.99"
"342084";2025;"3T";"1992709.24"
"342084";2025;"3T";"1681450.48"
"342084";2025;"3T";"311258.76"
"342084";2025;"3T";"1951190.85"
"342084";2025;"3T";"982792.33"
"342084";2025;"3T";"1947247.66"
"342084";2025;"3T";"980806.18"
"342084";2025;"3T";"3271024.45"
"342084";2025;"3T";"1647577.29"
"342203";2025;"3T";"54546.38"
"342203";2025;"3T";"54546.38"
"342203";2025;"3T";"54546.38"
"342203";2025;"3T";"65630.72"
"342386";2025;"3T";"286282.6"
"342386";2025;"3T";"26566.47"
"342386";2025;"3T";"259716.13"
"342386";2025;"3T";"2254112.53"
"342386";2025;"3T";"5002783.24"
"342386";2025;"3T";"4803014.91"
"342386";2025;"3T";"199768.33"
"342386";2025;"3T";"11625.37"
"342386";2025;"3T";"11625.37"
"342386";2025;"3T";"6724334.7"
"342807";2025;"3T";"4625919.21"
"342807";2025;"3T";"16931.43"
"342807";2025;"3T";"2117405.66"
"342807";2025;"3T";"2491582.12"
"342807";2025;"3T";"16420165.88"
"342807";2025;"3T";"5779504.37"
"342807";2025;"3T";"4661804.86"
"342807";2025;"3T";"1117699.51"
"343064";2025;"3T";"66102333.91"
"343064";2025;"3T";"65816649.01"
"343064";2025;"3T";"65141324.86"
"343064";2025;"3T";"65134191.66"
"343064";2025;"3T";"46800271.68"
"343064";2025;"3T";"2716055.86"
"343064";2025;"3T";"15891961.26"
"343064";2025;"3T";"7133.2"
"343064";2025;"3T";"675324.15"
"343064";2025;"3T";"675324.15"
"343064";2025;"3T";"675324.15"
"343064";2025;"3T";"285684.9"
"343064";2025;"3T";"285684.9"
"343064";2025;"3T";"285684.9"
"343064";2025;"3T";"285684.9"
"343064";2025;"3T";"285684.9"
"343064";2025;"3T";"426125.03"
"343064";2025;"3T";"-140440.13"
"343064";2025;"3T";"474042.37"
"343064";2025;"3T";"474042.37"
"343269";2025;"3T";"1552084.03"
"343269";2025;"3T";"27551216.58"
"343269";2025;"3T";"73460.18"
"343269";2025;"3T";"55557181.49"
"343269";2025;"3T";"32669.26"
"343269";2025;"3T";"294881.45"
"343269";2025;"3T";"33379.89"
"343269";2025;"3T";"21204996.49"
"343269";2025;"3T";"21204996.49"
"343269";2025;"3T";"1024990.34"
"343269";2025;"3T";"9618344.42"
"343269";2025;"3T";"75692"
"343269";2025;"3T";"4191774.95"
"343269";2025;"3T";"1990"
"343269";2025;"3T";"9550636.2"
"343269";2025;"3T";"6258"
"343269";2025;"3T";"22523"
"343269";2025;"3T";"1588847.05"
"343269";2025;"3T";"1588847.05"
"343269";2025;"3T";"181556.33"
"343269";2025;"3T";"621764.1"
"343269";2025;"3T";"7706.92"
"343269";2025;"3T";"573155.34"
"343269";2025;"3T";"806261.9"
"343269";2025;"3T";"66427.98"
"343269";2025;"3T";"3196.94"
"343269";2025;"3T";"-1517130.29"
"343269";2025;"3T";"-1517130.29"
"343269";2025;"3T";"-1517130.29"
"343269";2025;"3T";"-1517130.29"
"343269";2025;"3T";"-582200.34"
"343269";2025;"3T";"-582200.34"
"343269";2025;"3T";"-934929.95"
"343269";2025;"3T";"-356795.89"
"343269";2025;"3T";"-578134.06"
"343676";2025;"3T";"1426275.07"
"343676";2025;"3T";"0"
"343676";2025;"3T";"1083498.7"
"343676";2025;"3T";"342776.37"
"343676";2025;"3T";"2352499.69"
"343676";2025;"3T";"3544707.87"
"343676";2025;"3T";"2752984.81"
"343676";2025;"3T";"791723.06"
"343676";2025;"3T";"850646.36"
"343676";2025;"3T";"850646.36"
"343676";2025;"3T";"56061.71"
"343676";2025;"3T";"56061.71"
"343722";2025;"3T";"11410079.31"
"343722";2025;"3T";"11213791.16"
"343722";2025;"3T";"4941722.11"
"343722";2025;"3T";"4941722.11"
"343722";2025;"3T";"1022408.11"
"343722";2025;"3T";"3475091.81"
"343722";2025;"3T";"54281.47"
"343722";2025;"3T";"1709415.29"
"343722";2025;"3T";"2602.48"
"343722";2025;"3T";"6036091.54"
"343722";2025;"3T";"6151648.78"
"343722";2025;"3T";"6151648.78"
"343722";2025;"3T";"752399.33"
"343722";2025;"3T";"4215715.33"
"343722";2025;"3T";"6789.49"
"343722";2025;"3T";"1599834.24"
"343722";2025;"3T";"116606.27"
"343722";2025;"3T";"116606.27"
"343722";2025;"3T";"93529"
"343722";2025;"3T";"23077.27"
"343722";2025;"3T";"3814"
"343722";2025;"3T";"3814"
"343722";2025;"3T";"135454.37"
"343722";2025;"3T";"196288.15"
"343722";2025;"3T";"196288.15"
"343722";2025;"3T";"196288.15"
"343722";2025;"3T";"196288.15"
"343722";2025;"3T";"196288.15"
"343722";2025;"3T";"99278.2"
"343722";2025;"3T";"97009.95"
"343889";2025;"3T";"119594209.22"
"343889";2025;"3T";"119594209.22"
"343889";2025;"3T";"62561020.35"
"343889";2025;"3T";"63920060.21"
"343889";2025;"3T";"57033188.87"
"343889";2025;"3T";"57033188.87"
"344141";2025;"3T";"15102.59"
"344141";2025;"3T";"15102.59"
"344141";2025;"3T";"4447.77"
"344141";2025;"3T";"518653.15"
"344141";2025;"3T";"484515.29"
"344141";2025;"3T";"34137.86"
"344141";2025;"3T";"32416.21"
"344397";2025;"3T";"208189861.07"
"344397";2025;"3T";"208189861.07"
"344397";2025;"3T";"6543267.81"
"344397";2025;"3T";"50970303.65"
"344397";2025;"3T";"2491624.37"
"344397";2025;"3T";"61463.65"
"344397";2025;"3T";"14245413"
"344397";2025;"3T";"12796195.01"
"344397";2025;"3T";"104424617.06"
"344397";2025;"3T";"4963058.27"
"344397";2025;"3T";"18470.9"
"344397";2025;"3T";"25197952.02"
"344397";2025;"3T";"1012523.81"
"344397";2025;"3T";"5961598.12"
"344397";2025;"3T";"128511.47"
"344397";2025;"3T";"5703.57"
"344397";2025;"3T";"1641602.03"
"344397";2025;"3T";"0"
"344397";2025;"3T";"0"
"344397";2025;"3T";"0"
"344397";2025;"3T";"26982003.09"
"344397";2025;"3T";"26982003.09"
"344397";2025;"3T";"2206906.71"
"344397";2025;"3T";"20307032.52"
"344397";2025;"3T";"687510.48"
"344397";2025;"3T";"290.19"
"344397";2025;"3T";"4424267.76"
"344397";2025;"3T";"37096281.02"
"344397";2025;"3T";"37096281.02"
"344397";2025;"3T";"4471210.65"
"344397";2025;"3T";"30108311.04"
"344397";2025;"3T";"403802.81"
"344397";2025;"3T";"20880.08"
"344397";2025;"3T";"9315856.33"
"344397";2025;"3T";"717246.56"
"344397";2025;"3T";"717246.56"
"344397";2025;"3T";"927776.95"
"344397";2025;"3T";"221544.66"
"344397";2025;"3T";"1960174"
"344397";2025;"3T";"1960174"
"344397";2025;"3T";"1960174"
"344397";2025;"3T";"1960174"
"344397";2025;"3T";"1960174"
"344397";2025;"3T";"1868705.66"
"344397";2025;"3T";"91468.34"
"344788";2025;"3T";"249899.63"
"344788";2025;"3T";"249899.63"
"344788";2025;"3T";"894262.6"
"344788";2025;"3T";"1397349.75"
"344788";2025;"3T";"1308831.12"
"344788";2025;"3T";"88518.63"
"344788";2025;"3T";"1527931.33"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"79391496.82"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"33609969.69"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"114023334.41"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"2744153.44"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"2744153.44"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
"344800";2025;"3T";"0"
